fips,Vaccination,Masks,Close_schools,Date
2,0,0,0,2020-01-01
2,0,0,1,2020-03-16
2,0,1,1,2020-06-29
2,1,1,1,2021-03-09
2,1,1,0,2021-03-15
2,1,0,0,2021-11-22
2,1,1,0,2022-02-02
2,1,0,0,2022-02-15
2,0,0,0,2022-05-02
1,0,0,0,2020-01-01
1,0,0,1,2020-03-19
1,0,1,1,2020-05-01
1,0,1,0,2021-04-05
1,0,0,0,2021-04-09
1,1,0,0,2021-04-10
1,1,1,0,2021-09-17
1,1,0,0,2021-10-11
1,0,0,0,2022-04-12
1,1,0,0,2022-04-17
1,0,0,0,2022-04-28
5,0,0,0,2020-01-01
5,0,0,1,2020-03-17
5,0,1,1,2020-06-16
5,0,1,0,2020-08-27
5,0,1,1,2020-09-29
5,0,1,0,2020-10-19
5,0,1,1,2020-11-03
5,0,1,0,2021-02-28
5,1,1,0,2021-03-30
5,1,0,0,2021-04-01
5,1,0,1,2022-01-20
5,1,0,0,2022-01-22
5,1,0,1,2022-01-25
5,1,0,0,2022-02-08
5,0,0,0,2022-04-30
4,0,0,0,2020-01-01
4,0,0,1,2020-03-16
4,0,1,1,2020-06-19
4,0,1,0,2021-03-15
4,0,0,0,2021-03-25
4,1,0,0,2021-04-05
4,1,1,0,2021-04-06
4,1,0,0,2021-05-19
4,0,0,0,2022-05-05
6,0,0,0,2020-01-01
6,0,0,1,2020-03-13
6,0,1,1,2020-04-06
6,1,1,1,2021-04-15
6,1,0,1,2021-06-08
6,1,0,0,2021-07-30
6,1,0,1,2022-01-04
6,1,0,0,2022-01-25
6,0,0,0,2022-05-05
8,0,0,0,2020-01-01
8,0,0,1,2020-03-16
8,0,1,1,2020-10-11
8,1,1,1,2021-04-02
8,1,0,1,2021-04-03
8,1,1,1,2021-05-02
8,1,0,1,2021-05-05
8,1,0,0,2021-07-20
8,1,0,1,2021-10-26
8,1,0,0,2022-02-01
8,0,0,0,2022-04-26
9,0,0,0,2020-01-01
9,0,0,1,2020-03-11
9,0,1,1,2020-04-20
9,1,1,1,2021-04-01
9,1,0,1,2021-05-19
9,1,0,0,2021-06-01
9,1,0,1,2022-01-11
9,0,0,0,2022-04-26
10,0,0,0,2020-01-01
10,0,0,1,2020-03-16
10,0,1,1,2020-04-28
10,1,1,1,2021-04-06
10,1,0,1,2021-05-21
10,1,0,0,2021-11-09
10,0,0,0,2022-05-03
12,0,0,0,2020-01-01
12,0,0,1,2020-03-12
12,0,1,1,2020-04-13
12,0,1,0,2020-10-05
12,0,1,1,2020-11-30
12,0,1,0,2021-01-25
12,1,1,0,2021-04-05
12,1,0,0,2021-05-03
12,1,0,1,2021-09-01
12,1,0,0,2021-09-08
12,1,0,1,2022-01-04
12,1,0,0,2022-01-18
12,0,0,0,2022-04-29
13,0,0,0,2020-01-01
13,0,0,1,2020-03-18
13,0,0,0,2021-02-23
13,1,0,0,2021-03-25
13,1,1,0,2021-08-31
13,1,0,0,2021-11-24
13,0,0,0,2022-05-02
15,0,0,0,2020-01-01
15,0,0,1,2020-03-23
15,0,1,1,2020-07-02
15,1,1,1,2021-04-19
15,1,1,0,2021-06-18
15,1,0,0,2021-09-14
15,0,0,0,2022-05-05
19,0,0,0,2020-01-01
19,0,0,1,2020-04-02
19,0,1,1,2020-07-21
19,0,1,0,2020-11-10
19,0,1,1,2020-11-11
19,0,1,0,2021-02-03
19,1,1,0,2021-04-05
19,1,0,0,2021-05-18
19,1,1,0,2021-10-06
19,1,0,0,2021-10-19
19,1,0,1,2021-11-14
19,1,0,0,2021-11-22
19,0,0,0,2022-04-30
16,0,0,0,2020-01-01
16,0,0,1,2020-03-23
16,0,0,0,2020-09-21
16,0,1,0,2020-10-22
16,0,1,1,2020-11-16
16,0,1,0,2021-01-19
16,0,0,0,2021-02-22
16,1,0,0,2021-04-05
16,1,1,0,2021-04-27
16,1,0,0,2021-05-11
16,0,0,0,2022-05-03
17,0,0,0,2020-01-01
17,0,0,1,2020-03-17
17,0,1,1,2020-10-01
17,1,1,1,2021-04-19
17,1,1,0,2021-04-23
17,1,0,0,2021-05-16
17,1,0,1,2021-06-07
17,1,0,0,2021-06-28
17,0,0,0,2022-05-05
18,0,0,0,2020-01-01
18,0,0,1,2020-03-13
18,0,1,1,2020-07-27
18,0,0,1,2020-11-15
18,1,0,1,2021-03-31
18,1,1,1,2021-07-05
18,1,0,1,2021-08-25
18,1,0,0,2021-09-01
18,1,0,1,2021-09-14
18,1,0,0,2021-09-28
18,0,0,0,2022-05-05
20,0,0,0,2020-01-01
20,0,0,1,2020-03-17
20,0,1,1,2020-07-03
20,1,1,1,2021-03-29
20,1,0,1,2021-04-04
20,1,0,0,2021-04-06
20,0,0,0,2022-05-03
21,0,0,0,2020-01-01
21,0,0,1,2020-03-20
21,0,1,1,2020-07-10
21,1,1,0,2021-04-05
21,1,0,0,2021-04-26
21,0,0,0,2022-05-03
22,0,0,0,2020-01-01
22,0,0,1,2020-03-16
22,0,1,1,2020-05-16
22,1,1,1,2021-03-29
22,1,0,1,2021-04-30
22,1,0,0,2021-06-23
22,0,0,0,2021-07-31
22,1,0,0,2021-08-03
22,1,0,1,2022-01-25
22,0,0,1,2022-04-22
22,0,0,0,2022-05-02
25,0,0,0,2020-01-01
25,0,0,1,2020-03-12
25,0,1,1,2020-04-17
25,0,1,0,2020-12-01
25,0,1,1,2020-12-08
25,1,1,1,2021-04-19
25,1,0,0,2021-05-17
25,1,1,0,2021-08-27
25,1,1,1,2022-01-26
25,1,0,1,2022-03-05
25,1,0,0,2022-03-08
25,1,0,1,2022-04-12
25,0,0,0,2022-05-04
24,0,0,0,2020-01-01
24,0,0,1,2020-03-16
24,0,1,1,2020-07-31
24,0,1,0,2020-10-17
24,0,1,1,2020-10-27
24,1,1,1,2021-04-13
24,1,0,1,2021-04-28
24,1,0,0,2021-08-13
24,0,0,0,2022-04-27
23,0,0,0,2020-01-01
23,0,0,1,2020-03-15
23,0,0,0,2020-09-14
23,0,1,0,2020-11-04
23,1,1,0,2021-04-07
23,1,0,0,2021-04-27
23,1,0,1,2021-11-15
23,1,0,0,2021-11-23
23,1,0,1,2021-12-16
23,0,0,0,2021-12-22
23,1,0,0,2021-12-23
23,1,1,0,2022-01-25
23,1,0,0,2022-02-01
23,0,0,0,2022-05-03
26,0,0,0,2020-01-01
26,0,0,1,2020-03-16
26,0,1,1,2020-07-17
26,1,1,1,2021-04-05
26,1,0,1,2021-06-01
26,1,0,0,2021-06-25
26,1,0,1,2021-08-27
26,0,0,0,2022-04-21
27,0,0,0,2020-01-01
27,0,0,1,2020-03-18
27,1,0,1,2021-03-30
27,1,0,0,2021-09-08
27,0,0,0,2022-04-03
27,1,0,0,2022-04-11
27,0,0,0,2022-04-26
29,0,0,0,2020-01-01
29,0,0,1,2020-03-17
29,0,1,1,2020-07-01
29,0,1,0,2021-01-19
29,1,1,0,2021-04-09
29,1,0,0,2021-06-06
29,0,0,0,2022-05-04
28,0,0,0,2020-01-01
28,0,0,1,2020-03-19
28,0,1,1,2020-06-04
28,0,1,0,2020-10-15
28,0,1,1,2020-11-20
28,1,1,1,2021-03-16
28,1,1,0,2021-07-06
28,1,0,0,2021-08-02
28,0,0,0,2022-05-03
30,0,0,0,2020-01-01
30,0,0,1,2020-03-15
30,0,1,1,2020-06-26
30,0,1,0,2020-08-24
30,0,1,1,2020-10-05
30,0,1,0,2020-10-19
30,0,1,1,2020-11-06
30,0,1,0,2020-12-01
30,0,1,1,2021-01-19
30,0,1,0,2021-02-08
30,1,1,0,2021-04-13
30,1,0,0,2021-05-07
30,1,0,1,2021-10-13
30,1,0,0,2021-10-25
30,0,0,0,2022-05-03
37,0,0,0,2020-01-01
37,0,0,1,2020-03-16
37,0,1,1,2020-04-20
37,0,1,0,2021-03-10
37,1,1,0,2021-04-07
37,1,0,0,2021-04-30
37,1,0,1,2021-08-25
37,1,0,0,2021-10-27
37,0,0,0,2022-04-26
38,0,0,0,2020-01-01
38,0,0,1,2020-03-16
38,0,1,1,2020-10-19
38,0,0,1,2020-12-14
38,0,1,1,2021-01-18
38,0,1,0,2021-01-19
38,0,0,0,2021-03-08
38,1,0,0,2021-03-29
38,0,0,0,2022-04-04
38,1,0,0,2022-04-11
38,0,0,0,2022-05-03
31,0,0,0,2020-01-01
31,0,0,1,2020-03-14
31,0,0,0,2020-09-16
31,1,0,0,2021-04-05
31,1,0,1,2022-01-18
31,1,0,0,2022-02-21
31,0,0,0,2022-04-24
33,0,0,0,2020-01-01
33,0,0,1,2020-03-16
33,0,1,1,2020-11-20
33,0,1,0,2021-03-08
33,1,1,0,2021-04-02
33,1,0,0,2021-04-23
33,0,0,0,2021-06-28
33,1,0,0,2021-06-29
33,1,0,1,2022-01-19
33,1,0,0,2022-02-01
33,0,0,0,2022-05-05
34,0,0,0,2020-01-01
34,0,0,1,2020-03-18
34,0,1,1,2020-07-08
34,1,1,1,2021-04-19
34,1,0,1,2021-05-17
34,1,0,0,2021-06-29
34,0,0,0,2021-07-06
34,1,0,0,2021-07-07
34,0,0,0,2022-05-03
35,0,0,0,2020-01-01
35,0,0,1,2020-03-15
35,0,1,1,2020-05-15
35,0,1,0,2021-04-03
35,1,1,0,2021-04-12
35,1,0,0,2021-06-08
35,1,0,1,2021-08-14
35,1,0,0,2021-08-28
35,1,0,1,2022-01-18
35,1,0,0,2022-01-24
35,0,0,0,2022-04-26
32,0,0,0,2020-01-01
32,0,0,1,2020-03-16
32,0,1,1,2020-06-24
32,1,1,1,2021-04-05
32,1,1,0,2021-04-06
32,1,0,0,2021-07-16
32,0,0,0,2022-03-14
32,1,0,0,2022-03-22
32,0,0,0,2022-04-26
36,0,0,0,2020-01-01
36,0,0,1,2020-03-12
36,0,1,1,2020-04-17
36,1,1,1,2021-04-06
36,0,0,1,2021-05-17
36,0,1,1,2021-05-19
36,1,1,1,2021-06-01
36,1,0,1,2021-08-22
36,0,0,0,2022-05-03
39,0,0,0,2020-01-01
39,0,0,1,2020-03-16
39,0,1,1,2020-07-08
39,1,1,1,2021-03-29
39,1,0,0,2021-06-02
39,1,0,1,2022-02-02
39,1,0,0,2022-04-11
39,0,0,0,2022-04-19
39,1,0,0,2022-04-26
39,0,0,0,2022-05-03
40,0,0,0,2020-01-01
40,0,0,1,2020-03-17
40,0,1,1,2020-07-07
40,1,1,1,2021-03-29
40,1,0,1,2021-04-30
40,1,0,0,2021-07-06
40,0,0,0,2022-03-15
40,1,0,0,2022-04-04
40,0,0,0,2022-04-13
40,1,0,0,2022-04-17
40,0,0,0,2022-04-28
41,0,0,0,2020-01-01
41,0,0,1,2020-03-16
41,0,1,1,2020-06-24
41,0,1,0,2021-04-12
41,1,1,0,2021-04-19
41,1,0,0,2021-05-18
41,1,0,1,2021-08-23
41,1,0,0,2021-09-27
41,0,0,0,2022-05-05
42,0,0,0,2020-01-01
42,0,0,1,2020-03-13
42,0,1,1,2020-07-01
42,1,1,1,2021-04-13
42,1,0,0,2021-06-13
42,1,1,0,2021-10-12
42,1,1,1,2021-11-15
42,1,1,0,2021-12-01
42,1,1,1,2021-12-07
42,1,1,0,2021-12-13
42,1,1,1,2021-12-21
42,1,0,0,2022-01-11
42,1,1,0,2022-04-12
42,1,0,0,2022-04-20
42,0,0,0,2022-04-28
44,0,0,0,2020-01-01
44,0,0,1,2020-03-16
44,0,1,1,2020-05-08
44,0,1,0,2020-11-30
44,0,1,1,2020-12-08
44,0,1,0,2021-01-19
44,1,1,0,2021-04-19
44,1,0,0,2021-05-18
44,1,1,0,2022-01-25
44,1,0,0,2022-02-12
44,0,0,0,2022-05-03
45,0,0,0,2020-01-01
45,0,0,1,2020-03-16
45,0,1,1,2020-06-26
45,0,1,0,2021-03-02
45,1,1,0,2021-03-31
45,1,0,0,2021-05-11
45,1,1,0,2022-01-18
45,1,0,0,2022-02-08
45,0,0,0,2022-03-01
45,1,0,0,2022-03-15
45,0,0,0,2022-05-03
46,0,0,0,2020-01-01
46,0,0,1,2020-03-12
46,0,0,0,2020-09-08
46,0,0,1,2020-11-15
46,0,0,0,2020-12-01
46,0,0,1,2021-01-29
46,0,0,0,2021-02-08
46,1,0,0,2021-04-05
46,1,1,0,2022-01-24
46,0,0,0,2022-05-05
47,0,0,0,2020-01-01
47,0,0,1,2020-03-17
47,0,1,1,2020-07-03
47,0,1,0,2021-03-08
47,1,1,0,2021-04-05
47,1,0,0,2021-04-09
47,1,0,1,2021-08-30
47,1,0,0,2021-10-10
47,0,0,0,2022-05-03
48,0,0,0,2020-01-01
48,0,0,1,2020-03-16
48,0,1,1,2020-04-13
48,0,0,1,2020-04-27
48,0,1,1,2020-07-03
48,0,1,0,2020-10-14
48,0,1,1,2020-11-08
48,1,1,1,2021-03-29
48,1,1,0,2021-05-10
48,1,0,0,2021-07-29
48,1,0,1,2021-08-11
48,1,0,0,2021-10-12
48,1,0,1,2021-11-12
48,1,0,0,2021-12-07
48,0,0,0,2022-05-02
49,0,0,0,2020-01-01
49,0,0,1,2020-03-12
49,0,1,1,2020-06-27
49,0,0,1,2020-11-23
49,0,0,0,2021-02-08
49,1,0,0,2021-03-24
49,1,0,1,2022-03-28
49,0,0,0,2022-05-05
51,0,0,0,2020-01-01
51,0,0,1,2020-03-16
51,0,1,1,2020-11-16
51,0,0,1,2021-02-09
51,0,1,1,2021-04-13
51,1,1,1,2021-04-18
51,1,0,1,2021-05-04
51,1,0,0,2021-07-07
51,1,0,1,2022-01-24
51,1,0,0,2022-02-22
51,1,0,1,2022-03-09
51,1,0,0,2022-03-21
51,0,0,0,2022-05-03
50,0,0,0,2020-01-01
50,0,0,1,2020-03-16
50,0,1,1,2020-08-01
50,1,1,1,2021-04-20
50,0,0,1,2021-04-26
50,1,1,1,2021-04-27
50,1,0,1,2021-05-14
50,1,0,0,2021-06-15
50,1,0,1,2021-12-17
50,1,0,0,2021-12-20
50,1,0,1,2022-01-26
50,1,0,0,2022-02-01
50,0,0,0,2022-04-26
53,0,0,0,2020-01-01
53,0,0,1,2020-03-17
53,0,1,1,2020-06-26
53,1,1,1,2021-04-15
53,1,1,0,2021-05-24
53,1,0,0,2021-06-01
53,1,1,0,2021-08-23
53,1,0,0,2021-11-04
53,1,1,0,2022-03-02
53,1,0,0,2022-03-12
53,0,0,0,2022-05-03
55,0,0,0,2020-01-01
55,0,0,1,2020-03-18
55,0,1,1,2020-07-16
55,1,1,1,2021-04-05
55,1,0,0,2021-06-15
55,1,1,0,2021-07-05
55,1,0,0,2022-04-19
55,0,0,0,2022-04-26
54,0,0,0,2020-01-01
54,0,0,1,2020-03-13
54,0,1,1,2020-11-13
54,0,1,0,2021-02-23
54,1,1,0,2021-03-22
54,1,0,0,2021-04-19
54,0,0,0,2021-05-24
54,1,0,0,2021-05-25
54,1,0,1,2021-11-10
54,1,0,0,2021-11-21
54,1,0,1,2022-02-01
54,1,0,0,2022-02-15
54,0,0,0,2022-05-03
56,0,0,0,2020-01-01
56,0,0,1,2020-03-19
56,0,0,0,2020-09-28
56,0,0,1,2020-10-28
56,0,0,0,2020-12-30
56,1,0,0,2021-04-19
56,0,0,0,2022-04-26
