"Rank","State","Total Resident Population (thousands)","Population Ages 65+ (thousands)","Population Ages 65+ (percent of state population)"
"1","Maine","1,350","294","21.8"
"2","Florida","21,733","4,638","21.3"
"3","West Virginia","1,785","374","20.9"
"4","Vermont","623","129","20.6"
"5","Delaware","987","198","20.0"
"6","Montana","1,081","213","19.7"
"7","Hawaii","1,407","275","19.6"
"8","New Hampshire","1,366","263","19.3"
"9","Pennsylvania","12,783","2,448","19.1"
"10","South Carolina","5,218","976","18.7"
"11","Oregon","4,242","790","18.6"
"12","Arizona","7,421","1,374","18.5"
"12","New Mexico","2,106","390","18.5"
"14","Rhode Island","1,057","192","18.2"
"14","Connecticut","3,557","646","18.2"
"14","Michigan","9,967","1,812","18.2"
"17","Wisconsin","5,833","1,048","18.0"
"18","Iowa","3,164","566","17.9"
"18","Ohio","11,693","2,098","17.9"
"20","Alabama","4,922","874","17.8"
"20","Wyoming","582","104","17.8"
"22","Arkansas","3,031","536","17.7"
"22","Missouri","6,152","1,090","17.7"
"24","South Dakota","893","157","17.6"
"25","Massachusetts","6,894","1,198","17.4"
"25","New York","19,337","3,370","17.4"
"27","Kentucky","4,477","771","17.2"
"28","North Carolina","10,601","1,815","17.1"
"28","Tennessee","6,887","1,181","17.1"
"30","New Jersey","8,882","1,510","17.0"
"31","Mississippi","2,967","500","16.9"
"32","Kansas","2,914","488","16.8"
"32","Minnesota","5,657","949","16.8"
"34","Idaho","1,827","306","16.7"
"35","Illinois","12,588","2,089","16.6"
"36","Nevada","3,138","519","16.5"
"36","Indiana","6,755","1,115","16.5"
"36","Nebraska","1,938","319","16.5"
"39","Louisiana","4,645","764","16.4"
"39","Oklahoma","3,981","653","16.4"
"41","Maryland","6,056","987","16.3"
"41","Virginia","8,591","1,401","16.3"
"43","Washington","7,694","1,248","16.2"
"44","North Dakota","765","123","16.1"
"45","California","39,368","5,976","15.2"
"46","Colorado","5,808","876","15.1"
"47","Georgia","10,710","1,575","14.7"
"48","Texas","29,361","3,874","13.2"
"49","Alaska","731","96","13.1"
"50","Utah","3,250","382","11.7"